Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.030000,4.605000,4.020000,4.600000,4.215996,395343000
2006-05-26,4.630000,4.674000,4.411000,4.493000,4.117929,103044000
2006-05-30,4.497000,4.498000,4.285000,4.400000,4.032693,49898000
2006-05-31,4.435000,4.536000,4.435000,4.494000,4.118845,30002000
2006-06-01,4.493000,4.810000,4.490000,4.751000,4.354391,62344000
2006-06-02,4.850000,4.870000,4.679000,4.699000,4.306735,37253000
2006-06-05,4.705000,4.925000,4.700000,4.915000,4.504702,37188000
2006-06-06,4.998000,5.063000,4.780000,4.830000,4.426796,49045000
2006-06-07,4.833000,4.840000,4.675000,4.760000,4.362644,25013000
2006-06-08,4.760000,4.772000,4.550000,4.772000,4.373641,34439000
2006-06-09,4.880000,4.880000,4.768000,4.778000,4.379140,13372000
2006-06-12,4.800000,4.825000,4.630000,4.695000,4.303065,14546000
2006-06-13,4.620000,4.735000,4.530000,4.550000,4.170173,16716000
2006-06-14,4.490000,4.545000,4.444000,4.512000,4.135345,15971000
2006-06-15,4.540000,4.612000,4.513000,4.595000,4.211414,16500000
2006-06-16,4.550000,4.600000,4.500000,4.502000,4.126177,12280000
2006-06-19,4.545000,4.545000,4.410000,4.434000,4.063855,11509000
2006-06-20,4.474000,4.500000,4.347000,4.402000,4.034524,23792000
2006-06-21,4.402000,4.588000,4.400000,4.530000,4.151842,18063000
2006-06-22,4.640000,4.695000,4.588000,4.660000,4.270990,13038000
2006-06-23,4.699000,4.793000,4.687000,4.695000,4.303065,11612000
2006-06-26,4.695000,4.750000,4.643000,4.750000,4.353475,8565000
2006-06-27,4.750000,4.803000,4.725000,4.731000,4.336061,9826000
2006-06-28,4.685000,4.740000,4.650000,4.696000,4.303985,8756000
2006-06-29,4.695000,4.809000,4.695000,4.800000,4.399303,14470000
2006-06-30,4.765000,4.800000,4.660000,4.800000,4.399303,25964000
2006-07-03,4.790000,4.800000,4.681000,4.730000,4.335144,7029000
2006-07-05,4.740000,4.784000,4.671000,4.760000,4.362644,13266000
2006-07-06,4.725000,4.735000,4.679000,4.680000,4.289319,8097000
2006-07-07,4.675000,4.685000,4.575000,4.612000,4.226996,8380000
2006-07-10,4.620000,4.657000,4.612000,4.649000,4.260908,4978000
2006-07-11,4.649000,4.649000,4.530000,4.635000,4.248077,8079000
2006-07-12,4.640000,4.640000,4.554000,4.555000,4.174753,7672000
2006-07-13,4.518000,4.518000,4.430000,4.472000,4.098681,16625000
2006-07-14,4.462000,4.468000,4.390000,4.395000,4.028111,9663000
2006-07-17,4.391000,4.417000,4.375000,4.399000,4.031776,6458000
2006-07-18,4.399000,4.410000,4.367000,4.390000,4.023525,12483000
